plate,tier,callSign,location,contact,instructions,zone,notes
"TNV-5342","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"EW-3550","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"TTD-4559","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"5GK-7712","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"10000","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JS-7807","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"GDG-6908","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"4GW-3907","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"GP-1788","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"ET-5687","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"FT-5407","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"JC-7360","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"BC-372W","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"GU-2674","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"GU-1448","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"V","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"7GU-3930","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"2CG-9884","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"63848CL","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"CHOUNDRY","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"6EK-1375","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
"50090CP","3","","","","STANDARD: Log arrival. Notify ops channel.","","master registry import"
